,,,,,,,
PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,
237,Carter Lipscomb,JR-3,Charleston (W.V.),05:28.2,27:11.8,,LIVE IN LOU
238,Alex Zuckett,JR-3,Ohio,05:28.2,27:11.9,,LIVE IN LOU
239,Salah Farah,FR-1,Bellarmine,05:30.2,27:21.6,,LIVE IN LOU
240,Toby Sneed,FR-1,Olivet Nazarene,05:30.4,27:22.7,,LIVE IN LOU
241,Kyle Lightner,SR-4,Rio Grande,05:30.8,27:24.3,,LIVE IN LOU
242,Robert Wilke,FR-1,Northern Kentucky,05:30.9,27:24.9,,LIVE IN LOU
243,Hagan Russell,FR-1,Mercer,05:30.9,27:25.0,,LIVE IN LOU
244,Nate Wheatley,SO-2,Bellarmine,05:31.2,27:26.7,,LIVE IN LOU
245,JB Terrill,JR-3,Louisville,05:31.8,27:29.4,183,LIVE IN LOU
246,Zachary Cader,JR-3,Louisville,05:31.8,27:29.4,184,LIVE IN LOU
247,Michael Dellasanta,FR-1,Ohio,05:31.9,27:30.1,,LIVE IN LOU
248,Sebasthian Rodriguez,SR-4,Mercer,05:32.4,27:32.4,,LIVE IN LOU
249,Forrest Gago,FR-1,Bellarmine,05:32.4,27:32.5,,LIVE IN LOU
250,Reese DeVriendt,FR-1,Olivet Nazarene,05:32.8,27:34.5,,LIVE IN LOU
251,Owen Mathews,SR-4,Northern Kentucky,05:33.0,27:35.6,,LIVE IN LOU
252,Zach Cannon,SO-2,Marshall,05:33.7,27:39.0,185,LIVE IN LOU
253,Levi Johnson,FR-1,Olivet Nazarene,05:33.8,27:39.5,,LIVE IN LOU
254,Dylan Steele,SR-4,Northern Colorado,05:34.0,27:40.5,186,LIVE IN LOU
255,Braeden Elswick,SO-2,Marshall,05:34.7,27:43.8,187,LIVE IN LOU
256,Peter Dalmares,SR-4,Bellarmine,05:35.8,27:49.3,,LIVE IN LOU
257,Noah Pease,SR-4,Northern Kentucky,05:35.8,27:49.6,,LIVE IN LOU
258,Hunter Kenney,JR-3,Northern Colorado,05:40.9,28:14.7,188,LIVE IN LOU
259,Drew Belardo,JR-3,Bellarmine,05:41.2,28:16.5,,LIVE IN LOU
260,Nicholas Costas,SO-2,Northern Kentucky,05:42.6,28:23.3,,LIVE IN LOU
261,Brayden Rice,SO-2,Northern Kentucky,05:42.7,28:23.9,,LIVE IN LOU
262,Gregory Beard,FR-1,Northern Kentucky,05:43.3,28:26.6,,LIVE IN LOU
263,Damien Dixon,FR-1,Northern Kentucky,05:43.4,28:27.1,,LIVE IN LOU
264,Cash Coggins,SO-2,Chattanooga,05:43.7,28:28.5,,LIVE IN LOU
265,Forest MacKenzie,SR-4,Louisville,05:44.1,28:30.9,189,LIVE IN LOU
266,William Huddleston,SO-2,Illinois-Chicago,05:47.5,28:47.7,,LIVE IN LOU
267,Alex Bonilla,FR-1,Olivet Nazarene,05:50.5,29:02.4,,LIVE IN LOU
268,Kamryn Golub,SO-2,Northern Colorado,05:53.7,29:18.2,190,LIVE IN LOU
269,Sam Bridges,FR-1,Tennessee Tech,05:54.8,29:23.7,191,LIVE IN LOU
270,Noah Slone,SR-4,Northern Kentucky,06:11.6,30:47.6,,LIVE IN LOU
271,Austin Hawkins,FR-1,Northern Kentucky,06:13.2,30:55.4,,LIVE IN LOU
0,Noah McMurtrey,JR-3,Arkansas State,,DNF,,LIVE IN LOU
0,Luke Goode,FR-1,Marshall,,DNF,,LIVE IN LOU
0,Chance Bloodworth,FR-1,Clemson,,DNF,,LIVE IN LOU
0,Ben Kenner,JR-3,East Tenn. St.,,DNF,,LIVE IN LOU
0,Ian Hill,SO-2,Michigan,,DNF,,LIVE IN LOU
0,Dylan Christian,JR-3,Louisville,,DNF,,LIVE IN LOU
